NOM_SCIENTIFIQUE,ENJEU_CONSERVATION,NOM_MATCHING
"Pilosella piloselloides subsp. praealta (Vill. ex  Gochnat) S.Bräut. & Greuter, 2007 ",MOY,Pilosella piloselloides subsp. praealta 
"Pilosella soleiroliana (Arv.-Touv. & Briq.) S.Bräut. &  Greuter, 2007 ",TFO,Pilosella soleiroliana
"Pilosella visianii F.W.Schultz & Sch.Bip., 1862 ",MOY,Pilosella visianii
"Pilosella ziziana (Tausch) F.W.Schultz & Sch.Bip., 1862 ",MOY,Pilosella ziziana
"Pilularia globulifera L., 1753 ",FOR,Pilularia globulifera
"Pilularia minuta Durieu, 1838 ",FOR,Pilularia minuta
"Pimpinella lutea Desf., 1798 ",MOY,Pimpinella lutea
"Pimpinella major (L.) Huds., 1762 ",MOY,Pimpinella major
"Pimpinella peregrina L., 1753 ",MOY,Pimpinella peregrina
"Pimpinella saxifraga L., 1753 ",FAI,Pimpinella saxifraga
"Pimpinella saxifraga subsp. nigra (Mill.) Thell., 1926 ",DD,Pimpinella saxifraga subsp. nigra 
"Pimpinella saxifraga subsp. saxifraga L., 1753 ",FAI,Pimpinella saxifraga subsp. saxifraga 
"Pimpinella tragium Vill., 1779 ",MOY,Pimpinella tragium
"Pinguicula alpina L., 1753 ",MOY,Pinguicula alpina
"Pinguicula arvetii P.A.Genty, 1891 ",TFO,Pinguicula arvetii
"Pinguicula corsica Bernard & Gren., 1853 ",TFO,Pinguicula corsica
"Pinguicula grandiflora Lam., 1789 ",MOY,Pinguicula grandiflora
"Pinguicula leptoceras Rchb., 1823 ",DD,Pinguicula leptoceras
"Pinguicula longifolia subsp. caussensis Casper, 1962 ",TFO,Pinguicula longifolia subsp. caussensis 
"Pinguicula lusitanica L., 1753 ",TFO,Pinguicula lusitanica
"Pinguicula reichenbachiana Schindl., 1908 ",FOR,Pinguicula reichenbachiana
"Pinguicula vulgaris L., 1753 ",MOY,Pinguicula vulgaris
"Pinus cembra L., 1753 ",MOY,Pinus cembra
"Pinus halepensis Mill., 1768 ",MOY,Pinus halepensis
"Pinus mugo subsp. mugo Turra, 1764 ",MOY,Pinus mugo subsp. mugo 
"Pinus mugo subsp. uncinata (Ramond ex DC.) Domin,  1936 ",MOY,Pinus mugo subsp. uncinata 
"Pinus nigra J.F.Arnold, 1785 ",MOY,Pinus nigra
"Pinus nigra subsp. laricio Maire, 1928 ",MOY,Pinus nigra subsp. laricio 
"Pinus nigra subsp. salzmannii (Dunal) Franco, 1943 ",MOY,Pinus nigra subsp. salzmannii 
"Pinus pinaster Aiton, 1789 ",MOY,Pinus pinaster
"Pinus pinea L., 1753 ",MOY,Pinus pinea
"Pinus sylvestris L., 1753 ",FAI,Pinus sylvestris
"Piptatherum caerulescens (Desf.) P.Beauv., 1812 ",MOY,Piptatherum caerulescens
"Piptatherum paradoxum (L.) P.Beauv., 1812 ",MOY,Piptatherum paradoxum
"Piptatherum virescens (Trin.) Boiss., 1884 ",MOY,Piptatherum virescens
"Pistacia lentiscus L., 1753 ",MOY,Pistacia lentiscus
"Pistacia terebinthus L., 1753 ",MOY,Pistacia terebinthus
"Pisum sativum L., 1753 ",MOY,Pisum sativum
"Plagius flosculosus (L.) Alavi & Heywood, 1976 ",TFO,Plagius flosculosus
"Plantago afra L., 1762 ",MOY,Plantago afra
"Plantago albicans L., 1753 ",MOY,Plantago albicans
"Plantago alpina L., 1753 ",MOY,Plantago alpina
"Plantago arenaria Waldst. & Kit., 1802 ",MOY,Plantago arenaria
"Plantago argentea Chaix, 1785 ",MOY,Plantago argentea
"Plantago atrata subsp. atrata Hoppe, 1799 ",MOY,Plantago atrata subsp. atrata 
"Plantago atrata subsp. fuscescens (Jord.) Pilg., 1937 ",MOY,Plantago atrata subsp. fuscescens 
"Plantago bellardii All., 1785 ",MOY,Plantago bellardii
"Plantago cornutii Gouan, 1773 ",TFO,Plantago cornutii
"Plantago coronopus L., 1753 ",MOY,Plantago coronopus
"Plantago coronopus subsp. coronopus L., 1753 ",MOY,Plantago coronopus subsp. coronopus 
"Plantago coronopus subsp. humilis (Guss.) Gamisans,  1988 ",DD,Plantago coronopus subsp. humilis 
"Plantago crassifolia Forssk., 1775 ",FOR,Plantago crassifolia
"Plantago holosteum Scop., 1771 ",MOY,Plantago holosteum
"Plantago lagopus L., 1753 ",MOY,Plantago lagopus
"Plantago lanceolata L., 1753 ",MOY,Plantago lanceolata
"Plantago major L., 1753 ",MOY,Plantago major
"Plantago major subsp. major L., 1753 ",FAI,Plantago major subsp. major 
"Plantago major subsp. pleiosperma Pilg., 1937 ",MOY,Plantago major subsp. pleiosperma 
"Plantago maritima subsp. serpentina (All.) Arcang.,  1882 ",MOY,Plantago maritima subsp. serpentina 
"Plantago media L., 1753 ",FAI,Plantago media
"Plantago monosperma Pourr., 1788 ",MOY,Plantago monosperma
"Plantago sarda C.Presl, 1845 ",FOR,Plantago sarda
"Plantago sempervirens Crantz, 1766 ",MOY,Plantago sempervirens
"Plantago subulata L., 1753 ",FOR,Plantago subulata
"Plantago weldenii Rchb., 1831 ",DD,Plantago weldenii
"Platanthera algeriensis Batt. & Trab., 1892 ",MOY,Platanthera algeriensis
"Platanthera bifolia (L.) Rich., 1817 ",MOY,Platanthera bifolia
"Platanthera chlorantha (Custer) Rchb., 1828 ",MOY,Platanthera chlorantha
"Platycapnos spicata (L.) Bernh., 1833 ",MOY,Platycapnos spicata
"Platycapnos tenuiloba Pomel, 1874 ",DD,Platycapnos tenuiloba
"Pleurospermum austriacum (L.) Hoffm., 1814 ",MOY,Pleurospermum austriacum
"Plumbago europaea L., 1753 ",MOY,Plumbago europaea
"Poa alpina L., 1753 ",FAI,Poa alpina
"Poa anceps (Gaudin) Hegetschw. & Heer, 1839 ",DD,Poa anceps
"Poa annua L., 1753 ",MOY,Poa annua
"Poa badensis Haenke ex Willd., 1797 ",FOR,Poa badensis
"Poa balbisii Parl., 1850 ",MOY,Poa balbisii
"Poa bulbosa L., 1753 ",MOY,Poa bulbosa
"Poa cenisia All., 1789 ",MOY,Poa cenisia
"Poa chaixii Vill., 1786 ",MOY,Poa chaixii
"Poa compressa L., 1753 ",FAI,Poa compressa
"Poa flaccidula Boiss. & Reut., 1852 ",FOR,Poa flaccidula
"Poa glauca Vahl, 1790 ",MOY,Poa glauca
"Poa hybrida Gaudin, 1808 ",MOY,Poa hybrida
"Poa infirma Kunth, 1816 ",MOY,Poa infirma
"Poa laxa Haenke, 1791 ",MOY,Poa laxa
"Poa minor Gaudin, 1808 ",MOY,Poa minor
"Poa molinerii Balb., 1801 ",MOY,Poa molinerii
"Poa nemoralis L., 1753 ",FAI,Poa nemoralis
"Poa palustris L., 1759 ",FOR,Poa palustris
"Poa perconcinna J.R.Edm., 1978 ",FOR,Poa perconcinna
"Poa pratensis L., 1753 ",MOY,Poa pratensis
"Poa pratensis subsp. angustifolia (L.) Dumort., 1824 ",MOY,Poa pratensis subsp. angustifolia 
"Poa pratensis subsp. pratensis L., 1753 ",MOY,Poa pratensis subsp. pratensis 
"Poa supina Schrad., 1806 ",MOY,Poa supina
"Poa trivialis L., 1753 ",MOY,Poa trivialis
"Poa trivialis subsp. sylvicola (Guss.) H.Lindb., 1906 ",MOY,Poa trivialis subsp. sylvicola 
"Poa trivialis subsp. trivialis L., 1753 ",MOY,Poa trivialis subsp. trivialis 
"Podospermum laciniatum (L.) DC., 1805 ",MOY,Podospermum laciniatum
Podospermum purpureum (L.) W.D.J.Koch & Ziz ,MOY,Podospermum purpureum
"Polemonium caeruleum L., 1753 ",MOY,Polemonium caeruleum
"Polycarpon polycarpoides subsp. catalaunicum  O.Bolòs & Vigo, 1974 ",TFO,Polycarpon polycarpoides subsp. catalaunicum 
"Polycarpon tetraphyllum (L.) L., 1759 ",MOY,Polycarpon tetraphyllum
"Polycarpon tetraphyllum subsp. alsinifolium (Biv.)  Ball, 1877 ",FOR,Polycarpon tetraphyllum subsp. alsinifolium 
"Polycarpon tetraphyllum subsp. diphyllum (Cav.)  O.Bolòs & Font Quer, 1962 ",DD,Polycarpon tetraphyllum subsp. diphyllum 
"Polycarpon tetraphyllum subsp. tetraphyllum (L.) L.,  1759 ",MOY,Polycarpon tetraphyllum subsp. tetraphyllum 
"Polycnemum arvense L., 1753 ",MOY,Polycnemum arvense
"Polycnemum majus A.Braun, 1841 ",MOY,Polycnemum majus
"Polygala alpestris Rchb., 1823 ",MOY,Polygala alpestris
"Polygala alpina (DC.) Steud., 1821 ",MOY,Polygala alpina
"Polygala amarella Crantz, 1769 ",MOY,Polygala amarella
"Polygala calcarea F.W.Schultz, 1837 ",MOY,Polygala calcarea
"Polygala comosa Schkuhr, 1796 ",MOY,Polygala comosa
"Polygala exilis DC., 1813 ",TFO,Polygala exilis
"Polygala monspeliaca L., 1753 ",MOY,Polygala monspeliaca
"Polygala nicaeensis Risso ex W.D.J.Koch, 1830 ",MOY,Polygala nicaeensis
"Polygala pedemontana Perrier & B.Verl., 1863 ",FOR,Polygala pedemontana
"Polygala rupestris Pourr., 1788 ",MOY,Polygala rupestris
"Polygala serpyllifolia Hose, 1797 ",MOY,Polygala serpyllifolia
"Polygala vulgaris L., 1753 ",FAI,Polygala vulgaris
"Polygaloides chamaebuxus (L.) O.Schwarz, 1949 ",MOY,Polygaloides chamaebuxus
"Polygonatum multiflorum (L.) All., 1785 ",MOY,Polygonatum multiflorum
"Polygonatum odoratum (Mill.) Druce, 1906 ",FAI,Polygonatum odoratum
"Polygonatum verticillatum (L.) All., 1785 ",MOY,Polygonatum verticillatum
"Polygonum aviculare L., 1753 ",MOY,Polygonum aviculare
"Polygonum aviculare subsp. aviculare L., 1753 ",MOY,Polygonum aviculare subsp. aviculare 
"Polygonum aviculare subsp. depressum (Meisn.)  Arcang., 1882 ",DD,Polygonum aviculare subsp. depressum 
"Polygonum aviculare subsp. rurivagum (Jord. ex  Boreau) Berher, 1887 ",MOY,Polygonum aviculare subsp. rurivagum 
"Polygonum bellardii All., 1785 ",MOY,Polygonum bellardii
"Polygonum maritimum L., 1753 ",MOY,Polygonum maritimum
"Polygonum robertii Loisel., 1827 ",FOR,Polygonum robertii
"Polygonum romanum subsp. gallicum (Raffaelli)  Raffaelli & L.Villar, 1988 ",TFO,Polygonum romanum subsp. gallicum 
"Polygonum scoparium Req. ex Loisel., 1827 ",TFO,Polygonum scoparium
"Polypodium cambricum L., 1753 ",MOY,Polypodium cambricum
"Polypodium interjectum Shivas, 1961 ",FAI,Polypodium interjectum
"Polypodium vulgare L., 1753 ",FAI,Polypodium vulgare
"Polypogon maritimus Willd., 1801 ",MOY,Polypogon maritimus
"Polypogon monspeliensis (L.) Desf., 1798 ",MOY,Polypogon monspeliensis
"Polypogon subspathaceus Req., 1825 ",FOR,Polypogon subspathaceus
"Polypogon viridis (Gouan) Breistr., 1966 ",MOY,Polypogon viridis
"Polystichum aculeatum (L.) Roth, 1799 ",MOY,Polystichum aculeatum
"Polystichum lonchitis (L.) Roth, 1799 ",FAI,Polystichum lonchitis
"Polystichum setiferum (Forssk.) T.Moore ex Woyn.,  1913 ",MOY,Polystichum setiferum
"Populus alba L., 1753 ",MOY,Populus alba
"Populus nigra L., 1753 ",MOY,Populus nigra
"Populus nigra subsp. betulifolia (Pursh) W.Wettst.,  1952 ",DD,Populus nigra subsp. betulifolia 
"Populus nigra subsp. neapolitana (Ten.) Maire, 1932 ",MOY,Populus nigra subsp. neapolitana 
"Populus tremula L., 1753 ",FAI,Populus tremula
"Portulaca granulatostellulata (Poelln.) Ricceri &  Arrigoni, 2000 ",DD,Portulaca granulatostellulata
"Portulaca nitida (Danin & H.G.Baker) Ricceri &  Arrigoni, 2000 ",DD,Portulaca nitida
"Portulaca oleracea L., 1753 ",DD,Portulaca oleracea
"Portulaca trituberculata Danin, Domina & Raimondo,  2008 ",DD,Portulaca trituberculata
"Posidonia oceanica (L.) Delile, 1813 ",DD,Posidonia oceanica
"Potamogeton alpinus Balb., 1804 ",MOY,Potamogeton alpinus
"Potamogeton berchtoldii Fieber, 1838 ",MOY,Potamogeton berchtoldii
"Potamogeton coloratus Hornem., 1813 ",MOY,Potamogeton coloratus
"Potamogeton crispus L., 1753 ",MOY,Potamogeton crispus
"Potamogeton friesii Rupr., 1845 ",DD,Potamogeton friesii
"Potamogeton gramineus L., 1753 ",FOR,Potamogeton gramineus
"Potamogeton lucens L., 1753 ",FOR,Potamogeton lucens
"Potamogeton natans L., 1753 ",MOY,Potamogeton natans
"Potamogeton nodosus Poir., 1816 ",MOY,Potamogeton nodosus
"Potamogeton perfoliatus L., 1753 ",FOR,Potamogeton perfoliatus
"Potamogeton polygonifolius Pourr., 1788 ",MOY,Potamogeton polygonifolius
"Potamogeton praelongus Wulfen, 1805 ",MOY,Potamogeton praelongus
"Potamogeton pusillus L., 1753 ",DD,Potamogeton pusillus
"Potamogeton schweinfurthii A.Benn., 1901 ",FOR,Potamogeton schweinfurthii
"Potamogeton trichoides Cham. & Schltdl., 1827 ",FOR,Potamogeton trichoides
"Potentilla alba L., 1753 ",FOR,Potentilla alba
"Potentilla anglica subsp. nesogenes (Briq.) Gamisans,  1985 ",TFO,Potentilla anglica subsp. nesogenes 
"Potentilla argentea L., 1753 ",MOY,Potentilla argentea
"Potentilla aurea L., 1756 ",MOY,Potentilla aurea
"Potentilla brauneana Hoppe, 1804 ",MOY,Potentilla brauneana
"Potentilla caulescens L., 1756 ",MOY,Potentilla caulescens
"Potentilla caulescens subsp. caulescens L., 1756 ",MOY,Potentilla caulescens subsp. caulescens 
"Potentilla caulescens subsp. petiolulata (Gaudin)  Nyman, 1878 ",MOY,Potentilla caulescens subsp. petiolulata 
"Potentilla cinerea Chaix ex Vill., 1779 ",MOY,Potentilla cinerea
"Potentilla crantzii (Crantz) Beck ex Fritsch, 1897 ",FAI,Potentilla crantzii
"Potentilla crassinervia Viv., 1825 ",FOR,Potentilla crassinervia
"Potentilla delphinensis Gren. & Godr., 1848 ",TFO,Potentilla delphinensis
"Potentilla erecta (L.) Raeusch., 1797 ",MOY,Potentilla erecta
"Potentilla fagineicola Lamotte, 1877 ",MOY,Potentilla fagineicola
"Potentilla frigida Vill., 1788 ",FOR,Potentilla frigida
"Potentilla grandiflora L., 1753 ",MOY,Potentilla grandiflora
"Potentilla heptaphylla L., 1755 ",MOY,Potentilla heptaphylla
"Potentilla hirta L., 1753 ",MOY,Potentilla hirta
"Potentilla inaperta Jord., 1849 ",TFO,Potentilla inaperta
"Potentilla inclinata Vill., 1788 ",MOY,Potentilla inclinata
"Potentilla micrantha Ramond ex DC., 1805 ",MOY,Potentilla micrantha
"Potentilla multifida L., 1753 ",MOY,Potentilla multifida
"Potentilla neglecta Baumg., 1816 ",MOY,Potentilla neglecta
"Potentilla nivalis Lapeyr., 1782 ",MOY,Potentilla nivalis
"Potentilla nivea L., 1753 ",MOY,Potentilla nivea
"Potentilla pedata Willd. ex Hornem., 1815 ",MOY,Potentilla pedata
"Potentilla puberula Krašan, 1867 ",FOR,Potentilla puberula
"Potentilla pyrenaica Ramond ex DC., 1805 ",MOY,Potentilla pyrenaica
"Potentilla recta L., 1753 ",MOY,Potentilla recta
"Potentilla reptans L., 1753 ",MOY,Potentilla reptans
"Potentilla saxifraga Ardoino ex De Not., 1848 ",FOR,Potentilla saxifraga
"Potentilla sterilis (L.) Garcke, 1856 ",MOY,Potentilla sterilis
"Potentilla supina L., 1753 ",FOR,Potentilla supina
"Potentilla thuringiaca Bernh. ex Link, 1822 ",MOY,Potentilla thuringiaca
"Potentilla valderia L., 1759 ",FOR,Potentilla valderia
"Potentilla velutina Lehm., 1835 ",MOY,Potentilla velutina
"Potentilla verna L., 1753 ",MOY,Potentilla verna
"Poterium sanguisorba L., 1753 ",FAI,Poterium sanguisorba
"Poterium sanguisorba subsp. balearica (Bourg. ex  Nyman) Stace, 2009 ",MOY,Poterium sanguisorba subsp. balearica 
"Poterium sanguisorba subsp. sanguisorba L., 1753 ",MOY,Poterium sanguisorba subsp. sanguisorba 
"Poterium verrucosum Link ex G.Don, 1832 ",MOY,Poterium verrucosum
"Prangos trifida (Mill.) Herrnst. & Heyn, 1977 ",MOY,Prangos trifida
"Prasium majus L., 1753 ",FOR,Prasium majus
"Prenanthes purpurea L., 1753 ",FAI,Prenanthes purpurea
"Primula allionii Loisel., 1809 ",FOR,Primula allionii
"Primula cottia Widmer, 1889 ",DD,Primula cottia
"Primula elatior (L.) Hill, 1765 ",MOY,Primula elatior
"Primula elatior subsp. elatior (L.) Hill, 1765 ",MOY,Primula elatior subsp. elatior 
"Primula elatior subsp. intricata (Gren. & Godr.)  Widmer, 1891 ",MOY,Primula elatior subsp. intricata 
"Primula farinosa L., 1753 ",MOY,Primula farinosa
"Primula halleri J.F.Gmel., 1775 ",MOY,Primula halleri
"Primula hirsuta All., 1773 ",MOY,Primula hirsuta
"Primula integrifolia L., 1753 ",MOY,Primula integrifolia
"Primula latifolia subsp. graveolens (Hegetschw.) Rouy,  1908 ",MOY,Primula latifolia subsp. graveolens 
"Primula latifolia subsp. latifolia Lapeyr., 1813 ",FOR,Primula latifolia subsp. latifolia 
"Primula lutea Vill., 1787 ",MOY,Primula lutea
"Primula marginata Curtis, 1792 ",MOY,Primula marginata
"Primula pedemontana E.Thomas ex Gaudin, 1828 ",FOR,Primula pedemontana
"Primula veris L., 1753 ",FAI,Primula veris
"Primula vulgaris subsp. vulgaris Huds., 1762 ",MOY,Primula vulgaris subsp. vulgaris 
"Prospero autumnale (L.) Speta, 1982 ",MOY,Prospero autumnale
"Prospero corsicum (Boullu) J.-M.Tison, 2006 ",TFO,Prospero corsicum
"Prospero obtusifolium (Poir.) Speta, 1982 ",TFO,Prospero obtusifolium
"Prospero pulchellum (Munby) Speta, 1982 ",DD,Prospero pulchellum
"Prunella grandiflora (L.) Scholler, 1775 ",MOY,Prunella grandiflora
"Prunella hastifolia Brot., 1804 ",MOY,Prunella hastifolia
"Prunella hyssopifolia L., 1753 ",MOY,Prunella hyssopifolia
"Prunella laciniata (L.) L., 1763 ",MOY,Prunella laciniata
"Prunella vulgaris L., 1753 ",MOY,Prunella vulgaris
"Prunus avium (L.) L., 1755 ",FAI,Prunus avium
"Prunus brigantina Vill., 1786 ",MOY,Prunus brigantina
"Prunus domestica subsp. insititia (L.) Bonnier &  Layens, 1894 ",MOY,Prunus domestica subsp. insititia 
"Prunus mahaleb L., 1753 ",MOY,Prunus mahaleb
"Prunus padus L., 1753 ",MOY,Prunus padus
"Prunus prostrata Labill., 1791 ",MOY,Prunus prostrata
"Prunus spinosa L., 1753 ",FAI,Prunus spinosa
"Pseudarrhenatherum longifolium (Thore) Rouy, 1922 ",FOR,Pseudarrhenatherum longifolium
"Pseudorchis albida (L.) Á.Löve & D.Löve, 1969 ",MOY,Pseudorchis albida
"Pseudorlaya pumila (L.) Grande, 1925 ",FOR,Pseudorlaya pumila
"Pseudoturritis turrita (L.) Al-Shehbaz, 2005 ",FAI,Pseudoturritis turrita
"Psilurus incurvus (Gouan) Schinz & Thell., 1913 ",MOY,Psilurus incurvus
"Pteridium aquilinum (L.) Kuhn, 1879 ",FAI,Pteridium aquilinum
"Pteris cretica L., 1767 ",MOY,Pteris cretica
"Ptilostemon casabonae (L.) Greuter, 1967 ",FOR,Ptilostemon casabonae
"Ptychotis saxifraga (L.) Loret & Barrandon, 1876 ",MOY,Ptychotis saxifraga
"Puccinellia distans (Jacq.) Parl., 1848 ",MOY,Puccinellia distans
"Puccinellia fasciculata (Torr.) E.P.Bicknell, 1907 ",FOR,Puccinellia fasciculata
"Puccinellia festuciformis (Host) Parl., 1850 ",FOR,Puccinellia festuciformis
"Puccinellia festuciformis subsp. festuciformis (Host)  Parl., 1850 ",FOR,Puccinellia festuciformis subsp. festuciformis 
Puccinellia festuciformis subsp. lagascana Julià &  J.M.Monts. ,DD,Puccinellia festuciformis subsp. lagascana 
"Pulicaria dysenterica (L.) Bernh., 1800 ",MOY,Pulicaria dysenterica
"Pulicaria odora (L.) Rchb., 1831 ",MOY,Pulicaria odora
"Pulicaria sicula (L.) Moris, 1843 ",TFO,Pulicaria sicula
"Pulicaria vulgaris Gaertn., 1791 ",FOR,Pulicaria vulgaris
"Pulmonaria affinis Jord., 1854 ",MOY,Pulmonaria affinis
"Pulmonaria angustifolia L., 1753 ",MOY,Pulmonaria angustifolia
"Pulmonaria longifolia (Bastard) Boreau, 1857 ",MOY,Pulmonaria longifolia
"Pulmonaria longifolia subsp. cevennensis Bolliger,  1982 ",MOY,Pulmonaria longifolia subsp. cevennensis 
"Pulmonaria longifolia subsp. delphinensis Bolliger,  1982 ",FOR,Pulmonaria longifolia subsp. delphinensis 
"Pulmonaria longifolia subsp. longifolia (Bastard)  Boreau, 1857 ",MOY,Pulmonaria longifolia subsp. longifolia 
"Pulmonaria montana Lej., 1811 ",DD,Pulmonaria montana
"Pulmonaria saccharata Mill., 1768 ",MOY,Pulmonaria saccharata
"Pyrola chlorantha Sw., 1810 ",MOY,Pyrola chlorantha
"Pyrola media Sw., 1804 ",MOY,Pyrola media
"Pyrola minor L., 1753 ",FAI,Pyrola minor
"Pyrola rotundifolia L., 1753 ",MOY,Pyrola rotundifolia
"Pyrus communis L., 1753 ",MOY,Pyrus communis
"Pyrus spinosa Forssk., 1775 ",MOY,Pyrus spinosa
"Quercus cerris L., 1753 ",FOR,Quercus cerris
"Quercus coccifera L., 1753 ",MOY,Quercus coccifera
"Quercus crenata Lam., 1785 ",FOR,Quercus crenata
"Quercus ilex L., 1753 ",MOY,Quercus ilex
"Quercus petraea Liebl., 1784 ",MOY,Quercus petraea
"Quercus pubescens Willd., 1805 ",MOY,Quercus pubescens
"Quercus pyrenaica Willd., 1805 ",FOR,Quercus pyrenaica
"Quercus robur L., 1753 ",MOY,Quercus robur
"Quercus suber L., 1753 ",MOY,Quercus suber
"Radiola linoides Roth, 1788 ",MOY,Radiola linoides
"Ramonda myconi (L.) Rchb., 1831 ",MOY,Ramonda myconi
"Ranunculus aconitifolius L., 1753 ",MOY,Ranunculus aconitifolius
"Ranunculus acris L., 1753 ",MOY,Ranunculus acris
"Ranunculus acris subsp. acris L., 1753 ",MOY,Ranunculus acris subsp. acris 
"Ranunculus acris subsp. friesianus (Jord.) Syme, 1863 ",MOY,Ranunculus acris subsp. friesianus 
"Ranunculus aduncus Gren., 1847 ",MOY,Ranunculus aduncus
"Ranunculus alpestris L., 1753 ",MOY,Ranunculus alpestris
"Ranunculus angustifolius DC., 1808 ",TFO,Ranunculus angustifolius
"Ranunculus aquatilis L., 1753 ",DD,Ranunculus aquatilis
"Ranunculus arvensis L., 1753 ",FAI,Ranunculus arvensis
"Ranunculus auricomus L., 1753 ",MOY,Ranunculus auricomus
"Ranunculus boreoapenninus Pignatti, 1976 ",DD,Ranunculus boreoapenninus
"Ranunculus breyninus Crantz, 1763 ",DD,Ranunculus breyninus
"Ranunculus bulbosus L., 1753 ",MOY,Ranunculus bulbosus
"Ranunculus bullatus L., 1753 ",FOR,Ranunculus bullatus
"Ranunculus canutii Coss. ex Ardoino, 1867 ",FOR,Ranunculus canutii
"Ranunculus carinthiacus Hoppe, 1826 ",MOY,Ranunculus carinthiacus
"Ranunculus carlittensis (Sennen) Grau, 1984 ",DD,Ranunculus carlittensis
"Ranunculus chasii Dunkel, 2011 ",TFO,Ranunculus chasii
"Ranunculus circinatus Sibth., 1794 ",FOR,Ranunculus circinatus
"Ranunculus clethraphilus Litard., 1909 ",TFO,Ranunculus clethraphilus
"Ranunculus cordiger subsp. cordiger Viv., 1824 ",TFO,Ranunculus cordiger subsp. cordiger 
"Ranunculus envalirensis Grau, 1984 ",TFO,Ranunculus envalirensis
"Ranunculus flammula L., 1753 ",MOY,Ranunculus flammula
"Ranunculus fluitans Lam., 1779 ",FOR,Ranunculus fluitans
"Ranunculus glacialis L., 1753 ",FAI,Ranunculus glacialis
"Ranunculus gouanii Willd., 1799 ",FOR,Ranunculus gouanii
"Ranunculus gramineus L., 1753 ",MOY,Ranunculus gramineus
"Ranunculus hederaceus L., 1753 ",FOR,Ranunculus hederaceus
"Ranunculus kuepferi Greuter & Burdet, 1987 ",MOY,Ranunculus kuepferi
"Ranunculus kuepferi subsp. kuepferi Greuter &  Burdet, 1987 ",DD,Ranunculus kuepferi subsp. kuepferi 
"Ranunculus kuepferi subsp. orientalis W.Huber, 1988 ",DD,Ranunculus kuepferi subsp. orientalis 
"Ranunculus lanuginosus L., 1753 ",MOY,Ranunculus lanuginosus
"Ranunculus lateriflorus DC., 1817 ",FOR,Ranunculus lateriflorus
"Ranunculus lingua L., 1753 ",FOR,Ranunculus lingua
"Ranunculus macrophyllus Desf., 1798 ",FOR,Ranunculus macrophyllus
"Ranunculus marschlinsii Steud., 1841 ",TFO,Ranunculus marschlinsii
"Ranunculus monspeliacus L., 1753 ",MOY,Ranunculus monspeliacus
"Ranunculus montanus Willd., 1799 ",DD,Ranunculus montanus
"Ranunculus muricatus L., 1753 ",MOY,Ranunculus muricatus
"Ranunculus nodiflorus L., 1753 ",FOR,Ranunculus nodiflorus
"Ranunculus ophioglossifolius Vill., 1789 ",FOR,Ranunculus ophioglossifolius
"Ranunculus paludosus Poir., 1789 ",MOY,Ranunculus paludosus
"Ranunculus parnassifolius L., 1753 ",MOY,Ranunculus parnassifolius
"Ranunculus parnassifolius subsp. heterocarpus  P.Küpfer, 1975 ",MOY,Ranunculus parnassifolius subsp. heterocarpus 
"Ranunculus parnassifolius subsp. parnassifolius L.,  1753 ",FOR,Ranunculus parnassifolius subsp. parnassifolius 
"Ranunculus parviflorus L., 1758 ",MOY,Ranunculus parviflorus
"Ranunculus parviflorus subsp. chius (DC.) Arcang.,  1882 ",MOY,Ranunculus parviflorus subsp. chius 
"Ranunculus parviflorus subsp. parviflorus L., 1758 ",MOY,Ranunculus parviflorus subsp. parviflorus 
"Ranunculus peltatus Schrank, 1789 ",MOY,Ranunculus peltatus
"Ranunculus peltatus subsp. fucoides (Freyn) Muñoz  Garm., 1985 ",FOR,Ranunculus peltatus subsp. fucoides 
"Ranunculus peltatus subsp. peltatus Schrank, 1789 ",MOY,Ranunculus peltatus subsp. peltatus 
"Ranunculus penicillatus (Dumort.) Bab., 1874 ",FOR,Ranunculus penicillatus
"Ranunculus penicillatus subsp. penicillatus (Dumort.)  Bab., 1874 ",DD,Ranunculus penicillatus subsp. penicillatus 
"Ranunculus penicillatus subsp. pseudofluitans (Syme)  S.D.Webster, 1988 ",DD,Ranunculus penicillatus subsp. pseudofluitans 
"Ranunculus platanifolius L., 1767 ",MOY,Ranunculus platanifolius
"Ranunculus pyrenaeus L., 1771 ",FOR,Ranunculus pyrenaeus
"Ranunculus repens L., 1753 ",MOY,Ranunculus repens
"Ranunculus revellierii Boreau, 1857 ",TFO,Ranunculus revellierii
"Ranunculus sardous Crantz, 1763 ",MOY,Ranunculus sardous
"Ranunculus sartorianus Boiss. & Heldr., 1854 ",MOY,Ranunculus sartorianus
"Ranunculus sceleratus L., 1753 ",MOY,Ranunculus sceleratus
"Ranunculus seguieri Vill., 1779 ",MOY,Ranunculus seguieri
"Ranunculus serpens Schrank, 1789 ",MOY,Ranunculus serpens
"Ranunculus sylviae Gamisans, 1992 ",TFO,Ranunculus sylviae
"Ranunculus thora L., 1753 ",MOY,Ranunculus thora
"Ranunculus trichophyllus Chaix, 1785 ",MOY,Ranunculus trichophyllus
"Ranunculus trichophyllus subsp. eradicatus (Laest.)  C.D.K.Cook, 1967 ",MOY,Ranunculus trichophyllus subsp. eradicatus 
"Ranunculus trichophyllus subsp. trichophyllus Chaix,  1785 ",MOY,Ranunculus trichophyllus subsp. trichophyllus 
"Ranunculus trilobus Desf., 1798 ",FOR,Ranunculus trilobus
